customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KGE1RPECH7D4APB7NK42N1H0,subs_01KGE1RPNPXXY8NPQ5GJ6RACG6,inv_01KJKC1D6T499CCMMGN9Y6QZ22,2026-02-02T02:09:06Z,2026-03-01T00:00:00Z,323.85,323.85,0.00,true
cust_01KGC86ZV452JEF3DY7Q3YK7P7,subs_01KGC8711G65BY8TMJEJNAYY0P,inv_01KJKB7WE27SA7WB7TK404ESCN,2026-02-01T09:23:17Z,2026-03-01T00:00:00Z,223.73,223.73,0.00,true
cust_01KGBJQXQ18T207Q2JWB74CR6F,subs_01KGBJQXV6AFSS2AH4AW0E4EFJ,inv_01KJKEKZ1DPSQSHZY0WPHWKRST,2026-02-01T03:08:03Z,2026-03-01T00:00:00Z,373.23,373.23,0.00,true
cust_01KGA5M48RXDNP2D3VWWFJNQ9G,subs_01KGA5M4N7MQBCMZ7SDW7ENAT5,inv_01KJKBDW1F8TEPFRA8PMKDZ71X,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,263.82,263.82,0.00,true
cust_01KG856FAPZB0GTECVQF874HSA,subs_01KG9F1TSE81VSD6A92ZY86REJ,inv_01KJKC3Q9J8SEJ27Q5Y44G9QPE,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,21433.44,21433.44,0.00,true
cust_01KG856FAPZB0GTECVQF874HSA,subs_01KG9F1TSE81VSD6A92ZY86REJ,,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,664436.64,,664436.64,false
cust_01KG83SNWVJD8CC57Y92NEVH2B,subs_01KG83SP2ZPSE24F0JZJAZ258H,inv_01KJKBKWGSPYGDT1E7TDCW9KM9,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.57,0.57,0.00,true
cust_01KG81JAJ5H22V874F23M2NQ4N,subs_01KG81JANTPMH8CNK33J9S652N,inv_01KJKBCN8X408ADCBBRH5FZ8YT,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,125486.36,125486.36,0.00,true
cust_01KG81HAGYWFBVCBTQMJ3E721Y,subs_01KG81HAQC5GA79GTMVRYNH0WK,inv_01KJKBNSYHN99QNQJMNVZNT194,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,374.32,374.31,0.01,true
cust_01KG81HFPTQQT2JMMPBVEHNR67,subs_01KG81HG25ZJEJSKNW0PR5Q29A,inv_01KJKBM8Q8SJ7J91F5PBYNE91T,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,365.88,365.88,0.00,true
cust_01KG81H36CDGCG9P17XYYQ7JXM,subs_01KG81H3AA74NT7NTSKBPF92GP,inv_01KJKEQG6BBX8PF7VQAD9TNCPM,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2310.06,2310.06,0.00,true
cust_01KG81GEYJS0KD8RGTD7FA064S,subs_01KG81GF3GQE6002C0R2DB2DQW,inv_01KJKBM8RH96DRA2FT3H7CMGEQ,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2088.74,2088.74,0.00,true
cust_01KG81GAA4T3W31PT1517PXHB7,subs_01KG81GAD8T10AT3WSJ70SDJ4Y,inv_01KJKBM2Z6DMJ0ACB29ATAQBE1,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,197.13,197.13,0.00,true
cust_01KG81G5B4K5N3P678XEK6M6NZ,subs_01KG81G5E2146PYWH6PFVPGQWR,inv_01KJKBM2Z382T1BTVKTBGTGVSM,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,223.73,223.73,0.00,true
cust_01KG81G7HN6HYC2F65BJNDRXRP,subs_01KG81G7P7NVK2BWZSAAC00JKW,inv_01KJKBNXQZCHZXX90G0PWYVXSR,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,687.75,687.75,0.00,true
cust_01KG81F90Q0KSEZVHYV8BMFREN,subs_01KG81F940ZHEP1S8XJG9E85HN,inv_01KJKBCEE4TZ02HS45PNC93HPG,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,170.53,170.53,0.00,true
cust_01KG81F4023F1B7NT6YA8H1WXA,subs_01KG81F44262E84FZN909GQD6S,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,338545.88,,338545.88,false
cust_01KG81EMGKJRTJP4XHHR64Q7XJ,subs_01KG81EMPCD674P2JWJJJCHCF1,inv_01KJKBD2R1S3R91HTST2BYZA4Q,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,4230.65,4230.65,0.00,true
cust_01KG81EH2F6MTYB2H502EAGPB7,subs_01KG81EH8NGV14FXKAJX9PE09R,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,12810.16,,12810.16,false
cust_01KG81DTVED3MZX092B2QRBPBZ,subs_01KG81DTZK81NS3HSKXNBBZ4ZK,inv_01KJKBCNEX4TCVK7B96PYGA4H4,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,9.25,9.25,0.00,true
